covariate,coef,ci_lo,ci_hi,p
Sex-Male,2.0618945192116778,1.8523496290555865,2.271439409367769,2.3524491519452204e-81
Dementia,1.7399212535450235,1.0552866490067982,2.4245558580832487,6.414692572671426e-07
Race-Black,1.7028125062992943,-0.8082634655238756,4.213888478122464,0.18379377080027598
Alcoholism,0.8253111543788771,0.3029963122817727,1.3476259964759816,0.00195834040856489
Obesity,0.7702430509041595,0.45879093167238105,1.0816951701359379,1.2684299409066496e-06
Psychotic Disorder,0.5725685345128166,0.13375147910767793,1.0113855899179554,0.010552444271946375
Diabetes,0.32910314644215366,0.01927553261019077,0.6389307602741165,0.03735399886643064
Anxiety Disorder,0.04975860093272293,-0.2765546409693087,0.3760718428347546,0.7650172329191866
Insomnia,-0.18792263413451984,-0.48148468007415546,0.10563941180511574,0.20957387506777658
Mood Disorder,-0.30612013529933146,-0.6433990950897459,0.03115882449108298,0.07525152289086921
Age,-0.509334119682866,-0.6391803256232302,-0.37948791374250185,1.627876413636442e-14
Race-White,-0.5892013369051736,-0.8576338067527786,-0.3207688670575687,1.7048062415244238e-05
Cardiovascular Disease,-1.48808259882409,-1.8332122268759528,-1.1429529707722272,3.289197012971552e-17
Race-Asian,-1.518911005226027,-2.1053509372890216,-0.9324710731630325,3.90562113005717e-07
